id,split,image_path,commonName,order,family,genus,species
1,test,001.Black_footed_Albatross/Black_Footed_Albatross_0046_18.jpg,Black footed Albatross,Procellariiformes,Diomedeidae,Phoebastria,Nigripes
2,test,001.Black_footed_Albatross/Black_Footed_Albatross_0009_34.jpg,Black footed Albatross,Procellariiformes,Diomedeidae,Phoebastria,Nigripes
3,test,001.Black_footed_Albatross/Black_Footed_Albatross_0002_55.jpg,Black footed Albatross,Procellariiformes,Diomedeidae,Phoebastria,Nigripes
4,test,001.Black_footed_Albatross/Black_Footed_Albatross_0074_59.jpg,Black footed Albatross,Procellariiformes,Diomedeidae,Phoebastria,Nigripes
5,test,001.Black_footed_Albatross/Black_Footed_Albatross_0014_89.jpg,Black footed Albatross,Procellariiformes,Diomedeidae,Phoebastria,Nigripes
6,test,001.Black_footed_Albatross/Black_Footed_Albatross_0085_92.jpg,Black footed Albatross,Procellariiformes,Diomedeidae,Phoebastria,Nigripes
7,test,001.Black_footed_Albatross/Black_Footed_Albatross_0031_100.jpg,Black footed Albatross,Procellariiformes,Diomedeidae,Phoebastria,Nigripes
8,test,001.Black_footed_Albatross/Black_Footed_Albatross_0051_796103.jpg,Black footed Albatross,Procellariiformes,Diomedeidae,Phoebastria,Nigripes
9,test,001.Black_footed_Albatross/Black_Footed_Albatross_0010_796097.jpg,Black footed Albatross,Procellariiformes,Diomedeidae,Phoebastria,Nigripes
10,test,001.Black_footed_Albatross/Black_Footed_Albatross_0025_796057.jpg,Black footed Albatross,Procellariiformes,Diomedeidae,Phoebastria,Nigripes
11,test,001.Black_footed_Albatross/Black_Footed_Albatross_0023_796059.jpg,Black footed Albatross,Procellariiformes,Diomedeidae,Phoebastria,Nigripes
12,test,001.Black_footed_Albatross/Black_Footed_Albatross_0086_796062.jpg,Black footed Albatross,Procellariiformes,Diomedeidae,Phoebastria,Nigripes
13,test,001.Black_footed_Albatross/Black_Footed_Albatross_0049_796063.jpg,Black footed Albatross,Procellariiformes,Diomedeidae,Phoebastria,Nigripes
14,test,001.Black_footed_Albatross/Black_Footed_Albatross_0006_796065.jpg,Black footed Albatross,Procellariiformes,Diomedeidae,Phoebastria,Nigripes
15,test,001.Black_footed_Albatross/Black_Footed_Albatross_0040_796066.jpg,Black footed Albatross,Procellariiformes,Diomedeidae,Phoebastria,Nigripes
16,test,001.Black_footed_Albatross/Black_Footed_Albatross_0016_796067.jpg,Black footed Albatross,Procellariiformes,Diomedeidae,Phoebastria,Nigripes
17,test,001.Black_footed_Albatross/Black_Footed_Albatross_0065_796068.jpg,Black footed Albatross,Procellariiformes,Diomedeidae,Phoebastria,Nigripes
18,test,001.Black_footed_Albatross/Black_Footed_Albatross_0089_796069.jpg,Black footed Albatross,Procellariiformes,Diomedeidae,Phoebastria,Nigripes
19,test,001.Black_footed_Albatross/Black_Footed_Albatross_0042_796071.jpg,Black footed Albatross,Procellariiformes,Diomedeidae,Phoebastria,Nigripes
20,test,001.Black_footed_Albatross/Black_Footed_Albatross_0067_170.jpg,Black footed Albatross,Procellariiformes,Diomedeidae,Phoebastria,Nigripes
21,test,001.Black_footed_Albatross/Black_Footed_Albatross_0060_796076.jpg,Black footed Albatross,Procellariiformes,Diomedeidae,Phoebastria,Nigripes
22,test,001.Black_footed_Albatross/Black_Footed_Albatross_0090_796077.jpg,Black footed Albatross,Procellariiformes,Diomedeidae,Phoebastria,Nigripes
23,test,001.Black_footed_Albatross/Black_Footed_Albatross_0056_796078.jpg,Black footed Albatross,Procellariiformes,Diomedeidae,Phoebastria,Nigripes
24,test,001.Black_footed_Albatross/Black_Footed_Albatross_0061_796082.jpg,Black footed Albatross,Procellariiformes,Diomedeidae,Phoebastria,Nigripes
